# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
1             	smoothSolver	1.000000e+00	2.039060e-02	2	8.889990e-03	1.260280e-04	2	false	smoothSolver	1.000000e+00	5.365510e-02	1	true	GAMG	1.000000e+00	9.897890e-03	34	true	smoothSolver	3.271040e-02	1.337570e-03	1	true
2             	smoothSolver	8.090060e-01	5.246850e-02	2	2.463210e-01	1.705490e-02	2	false	smoothSolver	6.457200e-01	3.155270e-02	1	true	GAMG	3.998700e-03	3.508890e-05	28	true	smoothSolver	1.874280e-02	9.092460e-04	1	true
3             	smoothSolver	7.004360e-01	4.492000e-02	2	1.762340e-01	1.345590e-02	2	false	smoothSolver	4.535440e-01	1.524920e-02	1	true	GAMG	4.808080e-03	4.718270e-05	26	true	smoothSolver	6.594660e-02	2.129940e-03	1	true
4             	smoothSolver	5.527840e-01	3.449610e-02	2	1.195480e-01	9.039080e-03	2	false	smoothSolver	1.364740e-01	4.825090e-03	1	true	GAMG	7.220150e-03	5.148360e-05	30	true	smoothSolver	4.213360e-02	9.230120e-04	1	true
5             	smoothSolver	3.344320e-01	2.046080e-02	2	7.765380e-02	5.466020e-03	2	false	smoothSolver	6.622650e-02	2.171150e-03	1	true	GAMG	1.139850e-02	9.305720e-05	30	true	smoothSolver	2.769390e-02	5.641100e-04	1	true
6             	smoothSolver	8.211090e-02	4.585020e-03	2	4.750890e-02	2.863050e-03	2	false	smoothSolver	6.074620e-02	1.926360e-03	1	true	GAMG	4.864070e-02	4.586010e-04	28	true	smoothSolver	2.509190e-02	4.996880e-04	1	true
7             	smoothSolver	1.849570e-01	1.133230e-02	2	3.698110e-02	1.827780e-03	2	false	smoothSolver	7.894780e-02	2.399600e-03	1	true	GAMG	1.761450e-02	1.229910e-04	28	true	smoothSolver	1.975280e-02	5.759900e-04	1	true
8             	smoothSolver	3.422000e-01	2.138150e-02	2	3.981140e-02	2.054980e-03	2	false	smoothSolver	6.668780e-02	3.109750e-03	1	true	GAMG	9.025500e-03	9.010230e-05	14	true	smoothSolver	1.754020e-02	5.969680e-04	1	true
9             	smoothSolver	3.991480e-01	2.504460e-02	2	4.260250e-02	2.381730e-03	2	false	smoothSolver	7.034170e-02	3.815830e-03	1	true	GAMG	8.952270e-03	7.534610e-05	21	true	smoothSolver	1.494130e-02	5.546880e-04	1	true
10            	smoothSolver	3.432100e-01	2.151720e-02	2	3.757940e-02	2.173550e-03	2	false	smoothSolver	7.327530e-02	4.187610e-03	1	true	GAMG	1.194200e-02	1.164590e-04	21	true	smoothSolver	1.182210e-02	4.879190e-04	1	true
